NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT04076280,Sodium Watchers Program - Hypertension,SWAPHTN,Recruiting,No Results Available,Hypertension,Behavioral: Sodium Watcher Program-Hypertension|Behavioral: Usual Care,Change in oral salt taste sensitivity|Change in blood pressure over time|Change in adherence to sodium restricted diet over time|Change in dietary quality over time|Change in Depression over time,Misook L. Chung|University of Kentucky,All,"18 Years to 99 Years   (Adult, Older Adult)",Not Applicable,60,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,44336,1-Sep-19,Nov-21,Nov-21,3-Sep-19,,9-Nov-20,"University of Kentucky, Lexington, Kentucky, United States",,https://ClinicalTrials.gov/show/NCT04076280
NCT04101630,Activity Monitoring in Pulmonary Hypertension,,Recruiting,No Results Available,Pulmonary Hypertension,Behavioral: Activity Monitoring,Activity Monitoring|Six Minute Walk Distance (6MWD) Test|Intensity of Activity|Quality of Life 36-Item Short Form Survey (SF-36)|emPHasis-10|Minnesota Living with Heart Failure (MLHF),Vanderbilt University Medical Center,All,"18 Years and older   (Adult, Older Adult)",,500,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,Physical Activity in PH,24-Oct-19,Jun-23,Jun-24,24-Sep-19,,25-Nov-20,"Vanderbilt University Medical Center, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT04101630
NCT02188381,The Role of Gut Microbiota in Hypertension,,Recruiting,No Results Available,Hypertension,Other: Stool Sample and Blood Sample,Characterize gut microbiota composition at phylum level|Characterize gut microbiota composition at genus level|Reduction in BP is associated with changes in gut microbiota composition in RH subjects.|IS hypertension associated with increased sympathetic activity and decreased parasympathetic activity and whether minocycline or other tetracyclines are effective to improve this balance|To determine if characterization of gut microbiota in at risk patients predicts long term care utilization and/or cardiovascular outcomes,"University of Florida|National Heart, Lung, and Blood Institute (NHLBI)",All,"18 Years to 80 Years   (Adult, Older Adult)",,426,Other|NIH,Observational,Observational Model: Cohort|Time Perspective: Prospective,IRB201400233-N|1R01HL132448-01,Jul-14,Oct-20,Oct-20,11-Jul-14,,28-Jan-20,"Cardiovascular Clinic at UF Health, Gainesville, Florida, United States",,https://ClinicalTrials.gov/show/NCT02188381
NCT04489251,Assessment of the TGF-beta Pathway and Micro-RNA in Pediatric Pulmonary Arterial Hypertension,,Recruiting,No Results Available,Pulmonary Arterial Hypertension,"Diagnostic Test: Protein Elisa analysis, microRNA analysis, whole exome sequencing",Plasma levels of proteins of the TGF-β pathway|Plasma levels of proteins in the TGF- β pathway and PH disease severity|MicroRNA levels in PH vs control subjects|Clinical findings correlation with study proteins/microRNA|Whole exome sequence analysis in PH patients and protein/microRNA levels,Medical College of Wisconsin,All,2 Years to 17 Years   (Child),,40,Other,Observational,Observational Model: Case-Control|Time Perspective: Prospective,1492809,1-Jul-20,1-Aug-22,1-Jan-23,28-Jul-20,,28-Jul-20,"Children's Hospital of Wisconsin, Milwaukee, Wisconsin, United States",,https://ClinicalTrials.gov/show/NCT04489251
NCT04121299,Mechanism of Masked Hypertension - Intervention,,Not yet recruiting,No Results Available,Masked Hypertension,Drug: Carvedilol|Drug: Amlodipine,Out of clinic 24 hour ambulatory blood pressure|Out of clinic awake blood pressure|Out of clinic asleep blood pressure|Out of clinic blood pressure variability|Out of clinic heart rate variability|Out of clinic 24-hour urinary catecholamines|Out of clinic 24-hour urinary metanephrines,University of Alabama at Birmingham,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 3,60,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",IRB-300004152,Jul-21,Jun-26,Jun-26,9-Oct-19,,3-Nov-20,"Hypertension Research Clinic at UAB, Birmingham, Alabama, United States",,https://ClinicalTrials.gov/show/NCT04121299
NCT03679117,Prenatal Mindfulness & Hypertension Study,HTN,Recruiting,No Results Available,Hypertension in Pregnancy,Behavioral: Mindfulness Training,Retention and Adherence|Hypertension diagnosis,Lifespan,Female,18 Years to 40 Years   (Adult),Not Applicable,20,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention,1303286,1-Apr-19,31-May-20,1-Jan-21,20-Sep-18,,16-Aug-19,"Women's Medicine Collaborative, Providence, Rhode Island, United States",,https://ClinicalTrials.gov/show/NCT03679117
NCT03596242,SMS System for Patients With Uncontrolled Hypertension,,Not yet recruiting,No Results Available,Hypertension,Other: SMS System|Behavioral: blood pressure control education,Number of Subjects Screened|Number of Subjects Enrolled|Proportion of Eligible Subjects Enrolled|Number of Subjects who Refuse Participation|Proportion of subjects excluded without SMS capability|Proportion of Participants Continuing myHealth|SMS rate of response|SMS participation|System Usability Scale (SUS)|Medication Adherence|Medication Adherence Questionnaire|Monitoring of SBP|Monitoring of DBP|Initial and follow up BP in office|No Show Rate|Coordinator time,Wake Forest University Health Sciences,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,24,Other,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,IRB00051763|5UL1TR001420-03,Jan-21,Mar-21,Mar-21,23-Jul-18,,24-Dec-20,"Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT03596242
NCT04029883,Hypertension Control and Remote Blood Pressure Monitoring,,Recruiting,No Results Available,Hypertension,Other: Remote BP Monitoring,Time to Control,Cedars-Sinai Medical Center,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,10,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Pro00057764,9-Nov-19,30-Apr-21,1-Jun-21,23-Jul-19,,16-Jul-20,"Cedars-Sinai Medical Center, Los Angeles, California, United States",,https://ClinicalTrials.gov/show/NCT04029883
NCT02425566,Role of Sympathetic Activity and Splanchnic Capacitance in Hypertension,,Recruiting,No Results Available,Hypertension,Drug: Trimethaphan|Drug: Nitroglycerin,Splanchnic venous capacitance|Systolic Blood Pressure|Stroke volume,Vanderbilt University|Vanderbilt University Medical Center,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,12,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,141218,Apr-15,Jul-21,Aug-21,24-Apr-15,,17-Sep-20,"Autonomic Dysfunction Center, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT02425566
NCT03354143,"Hypertension, Intracranial Pulsatility and Brain Amyloid-beta Accumulation in Older Adults (HIPAC Trial)",HIPAC,Recruiting,No Results Available,Hypertension,Drug: Standard Care|Drug: Intensive Treatment,Changes in intracranial pulsatility|Cerebrospinal fluid Amyloid-β and tau|Global and regional brain perfusion via Magnetic Resonance Imaging (MRI)|Regional brain volume via Magnetic Resonance Imaging (MRI)|Regional cortical thickness via Magnetic Resonance Imaging (MRI)|Brain white matter hyperintensity (WMH) via Magnetic Resonance Imaging (MRI)|Brain white matter microstructural integrity via Magnetic Resonance Imaging (MRI)|Brain neural network functional connectivity via Magnetic Resonance Imaging (MRI)|NIH-Toolbox neurocognitive function|NIH PROMIS patient-reported outcome measures of physical health|NIH PROMIS patient-reported outcome measures of mental health,University of Texas Southwestern Medical Center|Texas Health Resources|Michigan State University,All,"55 Years to 79 Years   (Adult, Older Adult)",Phase 2,120,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Prevention",R01AG057571,10-Apr-18,15-May-22,31-Oct-22,27-Nov-17,,7-Feb-20,"UT Southwestern Medical Center, Dallas, Texas, United States",,https://ClinicalTrials.gov/show/NCT03354143
